BEN_CLASS,IR_MLID,IR_MLNAME,IR_Lat,IR_Long,ASSESS_ID,AU_NAME,R3172ParameterName,BeneficialUse,AssessCat
"1C,2A,3A,4",UTAHDWQ_WQX-4923820,PINEVIEW RES S ARM 02,41.25772376,-111.7960518,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,3A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Ammonia,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,DO-temperature habitat profile width,4,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,FS
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,pH,4,idNE
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,1C,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,2A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,3A,NA
"1C,2A,3A,4",UTAHDWQ_WQX-4923830,PINEVIEW RES MIDDLE ARM 03,41.27132929,-111.7954888,UT-L-16020102-014_00,Pineview Reservoir,Total Dissolved Solids,4,idNE
